WahlkreisNr,Wahlkreis,Voters,Voted,Invalid_S1,Invalid_S2,Valid_S1,Valid_S2,SPD_S1,SPD_S2,CDU_S1,CDU_S2,FDP_S1,FDP_S2,DIE LINKE_S1,DIE LINKE_S2,GRÜNE_S1,GRÜNE_S2,CSU_S1,CSU_S2,NPD_S1,NPD_S2,REP_S1,REP_S2,FAMILIE_S1,FAMILIE_S2,Tierschutzpartei_S1,Tierschutzpartei_S2,PBC_S1,PBC_S2,MLPD_S1,MLPD_S2,BüSo_S1,BüSo_S2,BP_S1,BP_S2,PSG_S2,Volksabstimmung_S1,Volksabstimmung_S2,ZENTRUM_S1,ZENTRUM_S2,ADM_S1,ADM_S2,CM_S2,DKP_S1,DKP_S2,DVU_S2,DIE VIOLETTEN_S1,DIE VIOLETTEN_S2,FWD_S2,ÖDP_S1,ÖDP_S2,PIRATEN_S1,PIRATEN_S2,Bündnis21/RRP_S1,Bündnis217RRP_S2,RENTNER_S2,Freie Union_S1,Übrige_S1
195,Greiz  Altenburger Land,182336,116989,1952,1743,115037,115246,20224,19006,42988,37841,9237,12557,33672,33017,4196,4919,,,4720,4168,,397,,,,,,,,156,,,,,,,,,,,,,,,,,,,,478,,2707,,,,,
196,Sonneberg  Saalfeld-Rudolstadt  Saale-Orla-Kreis,231447,148939,2261,1845,146678,147094,27824,25004,46726,44770,12534,14342,45820,45439,5684,6654,,,6574,5978,,615,,,,,,,582,395,,,,,,,,,,,,,,,,,,,,557,,3340,,,,,934
197,Suhl  Schmalkalden-Meiningen  Hildburghausen,207012,130502,1857,1606,128645,128896,27055,22682,39600,38338,10313,12118,41361,40815,5936,6762,,,4380,3941,,532,,,,,,,,185,,,,,,,,,,,,,,,,,,,,414,,3109,,,,,
198,Neuwied,242568,172799,3873,2735,168926,170064,61544,42279,66214,61307,17881,28754,11331,15360,9518,14005,,,2438,1820,,689,,1548,,,,1022,,72,,,,,,,,,,,,,,,123,,,,,327,,2758,,,,,
199,Ahrweiler,195658,139346,2813,2187,136533,137159,33987,28973,62145,54737,20470,25933,8310,10171,10094,11622,,,1527,1192,,409,,1123,,,,288,,31,,,,,,,,,,,,,,,79,,,,,397,,2204,,,,,
200,Koblenz,196560,138790,3133,2553,135657,136237,38080,32414,59853,49065,13084,23679,9935,11239,13222,13732,,,1483,1188,,432,,1118,,,,227,,31,,,,,,,,,,,,,,,98,,,,,324,,2690,,,,,
201,Mosel/Rhein-Hunsrück,178493,129502,4212,2615,125290,126887,29768,26369,59719,49993,15621,24093,8979,10510,9690,10221,,,1513,1130,,482,,1278,,,,385,,25,,,,,,,,,,,,,,,100,,,,,284,,2017,,,,,
202,Kreuznach,190569,133191,3062,2458,130129,130733,37332,34984,61167,43300,8684,21190,11579,14197,8768,11065,,,1798,1560,,547,,1158,,,,248,,36,,,,,,,,,,,,,,,158,,,,,260,,2030,,,,,801
203,Bitburg,168357,120001,3429,2390,116572,117611,28042,22419,53705,48270,16213,22500,8043,9642,9274,9922,,,1295,1021,,354,,1237,,,,149,,22,,,,,,,,,,,,,,,92,,,,,266,,1717,,,,,
204,Trier,192571,139027,3573,2348,135454,136679,35039,30426,61980,50519,11330,20509,11639,13128,14143,16500,,,1323,1099,,350,,1119,,,,155,,27,,,,,,,,,,,,,,,74,,,,,284,,2489,,,,,
