Titel;Vorname;Nachname;Partei;Jahrgang;Kandidatennummer
;"Franz";"Müntefering";"SPD";1940;2139
;"Susanne";"Münz";;1967;2140
;"Volkmar";"Münz";;1965;2141
"Dr.";"Rolf";"Mützenich";"SPD";1959;2142
;"Marc";"Mulia";"DIE LINKE";1969;2143
;"Gesine";"Multhaupt";"SPD";1963;2144
;"Margit";"Munk";"CSU";1984;2145
;"Enno";"Munzel";;1990;2146
"Dr.";"Philipp";"Murmann";"CDU";1964;2147
;"Michael";"Musil";"GRÜNE";1947;2148
;"Özcan";"Mutlu";"GRÜNE";1968;2149
;"Ralf";"Mynter";"NPD";1960;2150
;"Georg";"Nägle";;1964;2151
;"Christof";"Nagel";"CDU";1986;2152
;"Erich";"Nagel";;1941;2153
;"Otto";"Nagel";"NPD";1942;2154
;"Mike";"Nagler";"DIE LINKE";1978;2155
;"Andrea";"Nahles";"SPD";1970;2156
;"Renate";"Narayan";"ödp";1943;2157
;"Jürgen";"Nass";;1973;2158
;"Traugott";"Nassauer";"MLPD";1949;2159
;"Denny";"Naterski";"NPD";1980;2160
;"Kersten";"Naumann";"DIE LINKE";1958;2161
;"Peter";"Naumann";"NPD";1952;2162
;"Ralph Otto";"Naumann";;1961;2163
;"Horst-Bruno";"Nehring";"PBC";1946;2164
;"Alexander";"Neidlein";"NPD";1975;2165
;"Wolfgang";"Neskovic";"DIE LINKE";1948;2166
;"Ingrid";"Nestle";"GRÜNE";1977;2167
;"Günther";"Nestmann";"REP";1943;2168
;"Mona";"Neubaur";"GRÜNE";1977;2169
;"Reinhard";"Neudorfer";"DIE LINKE";1946;2170
;"Anton";"Neumaier";"BP";1947;2171
;"Bernd Otto";"Neumann";"CDU";1942;2172
;"Björn";"Neumann";"DVU";1978;2173
;"Jürgen";"Neumann";"NPD";1945;2174
"Prof. Dr.";"Martin";"Neumann";"FDP";1956;2175
"Dr.";"Peter";"Neumann";"CDU";1956;2176
;"Reiner";"Neumann";"GRÜNE";1971;2177
;"Ute Vibeke";"Neumann";;1954;2178
;"Anja";"Neumayer";"BP";1976;2179
"Dr.";"Franz Josef";"Neumayer";"FDP";1953;2180
;"Andreas";"Neuner";"FDP";1968;2181
;"Thomas Ulrich";"Neuschwander";"FAMILIE";1965;2182
;"Jürgen";"Ney";"REP";1940;2183
;"Narziss";"Nianur";"MLPD";1964;2184
;"Vera";"Niazi-Shahabi";"DIE LINKE";1950;2185
;"Erika";"Nickel";"CDU";1950;2186
;"Margarete";"Nickel";"FAMILIE";1946;2187
;"Otto Lothar";"Nickel";"FAMILIE";1937;2188
;"Gabriele Monika Karin";"Nicklis";"PBC";1957;2189
;"Reinhard Erich";"Nickoleit";"RRP";1947;2190
;"Dirk";"Niebel";"FDP";1963;2191
;"Josef";"Niederländer";"CM";1950;2192
;"Franz";"Niedermayr";"FDP";1960;2193
;"Kornelia";"Niedermeier";"Volksabstimmung";1965;2194
;"Gerd";"Nier";"DIE LINKE";1947;2195
;"Dietmar";"Nietan";"SPD";1964;2196
;"Werner";"Niggemann";"MLPD";1949;2197
;"Manfred";"Nink";"SPD";1950;2198
;"Ulrike";"Nissen";"SPD";1959;2199
;"Valérie Vivienne";"Nitsche";"GRÜNE";1963;2200
;"Inga";"Nitz";"DIE LINKE";1979;2201
;"Franz";"Noffke";"REP";1951;2202
;"Michaela";"Noll";"CDU";1959;2203
;"Maren";"Noller";"FDP";1978;2204
;"Veronika";"Nolte";"SPD";1955;2205
;"Thomas";"Nord";"DIE LINKE";1957;2206
"Dr.";"Konstantin";"Notz von";"GRÜNE";1971;2207
;"Dominique Julien";"Nou";"SPD";1987;2208
;"Omid";"Nouripour";"GRÜNE";1975;2209
;"Janus";"Nowak";"NPD";1978;2210
;"Kim";"Nowak";"REP";1983;2211
"Dr.";"Hannedore";"Nowotny";"SPD";1952;2212
;"Peter Willy";"Nürnberger";"NPD";1949;2213
"Dr.";"Arnulf";"Nüßlein";"GRÜNE";1937;2214
"Dr.";"Georg";"Nüßlein";"CSU";1969;2215
;"Joachim";"Numberger";"REP";1959;2216
;"Erich Volker";"Oberhausen";"CDU";1959;2217
"Dr.";"Hans Günther";"Oberlack";"FDP";1956;2218
;"Franz";"Obermeier";"CSU";1946;2219
;"Marc-Ernst";"Oberscheid";"FDP";1962;2220
;"Monika";"Obieray";"GRÜNE";1952;2221
;"Tanja";"Och";"ödp";1974;2222
;"Holger";"Odenthal";"NPD";1967;2223
;"Kay";"Oelke";"NPD";1959;2224
;"Thomas";"Oelmayer";"GRÜNE";1954;2225
;"Cornelia";"Östereich";"SPD";1961;2226
;"Frank";"Oettler";"MLPD";1966;2227
;"Dirk";"Oetzel";"SPD";1970;2228
;"Cem";"Özdemir";"GRÜNE";1965;2229
;"Aydan";"Özoguz";"SPD";1967;2230
;"Rolf";"Offermann";"FDP";1960;2231
;"Silvia";"Ofori";"DIE LINKE";1956;2232
;"René";"Ohnemüller";"FAMILIE";1968;2233
;"Elke";"Olbrich-Tripp";"GRÜNE";1956;2234
;"Heinrich Herbert";"Oldenburg";"FAMILIE";1941;2235
;"Ralf Günther Josef";"Ollert";"NPD";1960;2236
;"Klaus";"Opitz";"REP";1942;2237
;"Wilfried";"Opitz";"REP";1951;2238
;"Thomas";"Oppermann";"SPD";1954;2239
;"Holger";"Ortel";"SPD";1951;2240
;"Lutz";"Oschmann";"GRÜNE";1948;2241
;"Petra";"Osinski";"GRÜNE";1944;2242
;"Lukas";"Oßwald";"DIE LINKE";1966;2243
;"Friedrich";"Ostendorff";"GRÜNE";1953;2244
;"Olaf Michael";"Ostertag";"DIE LINKE";1969;2245
"Dr.";"Volker";"Ostheimer";"SPD";1968;2246
;"Eduard";"Oswald";"CSU";1947;2247
"Dr.";"Hermann";"Ott";"GRÜNE";1961;2248
;"Henning";"Otte";"CDU";1968;2249
;"Matthias";"Ottmar";"REP";1981;2250
;"Birgit";"Otto";"CDU";1957;2251
;"Hans-Joachim";"Otto";"FDP";1952;2252
;"Stephanie Irmgard Gertrud";"Otto";"GRÜNE";1963;2253
;"Severin";"Pabsch";"SPD";1988;2254
;"Eveline";"Päßler";"CDU";1963;2255
;"Ulrich";"Pätzold";"NPD";1959;2256
;"Rodolfo";"Panetta";"REP";1952;2257
;"Rolf";"Pannicke";"DIE LINKE";1969;2258
;"Karsten";"Panzer";"NPD";1970;2259
;"Eva Anna";"Parbs";"FDP";1948;2260
;"Andreas";"Parr";"SPD";1971;2261
;"Udo";"Pastörs";"NPD";1952;2262
;"Petra";"Pau";"DIE LINKE";1963;2263
"Dr.";"Michael";"Paul";"CDU";1964;2264
;"Heinz";"Paula";"SPD";1951;2265
;"Stephan";"Paule";"CDU";1977;2266
;"Wolfgang Ludwig Max";"Pauli";"DIE LINKE";1936;2267
;"Elisabeth";"Paus";"GRÜNE";1968;2268
;"Eva";"Pauser";"CDU";1983;2269
;"Anke";"Pavlicek";"GRÜNE";1977;2270
;"Rita";"Pawelski";"CDU";1948;2271
;"Alfred";"Pecha";"FDP";1959;2272
;"Dirk";"Peddinghaus";"SPD";1962;2273
;"Irmgard";"Pehle";"GRÜNE";1953;2274
;"Christian";"Peiker";"DIE LINKE";1984;2275
;"Marie-Luise";"Pelick";"REP";1964;2276
;"Bernd-Dieter";"Pellmann";"RENTNER";1942;2277
;"Dorit Emmy Beate";"Pentz von";"MLPD";1950;2278
;"Hannes";"Pentz von";"MLPD";1979;2279
;"Wolfgang";"Penzler";"Die Tierschutzpartei";1943;2280
;"Bernhard";"Perrefort";"DIE LINKE";1954;2281
;"Rainer";"Perschewski";"DKP";1963;2282
;"Josef";"Perschl";"BüSo";1954;2283
;"David";"Perteck";"ödp";1977;2284
;"Jürgen";"Peter";;1956;2285
;"David";"Petereit";"NPD";1981;2286
;"Jens";"Petermann";"DIE LINKE";1963;2287
;"Frank";"Peters";"GRÜNE";1966;2288
;"Martin";"Peters";"SPD";1983;2289
;"Klaus Günter";"Petersdorf";"PIRATEN";1964;2290
;"Jörg";"Petersen";"FDP";1960;2291
;"Olaf";"Petersen";;1965;2292
;"Christian";"Petry";"SPD";1965;2293
;"Anke";"Petters";"GRÜNE";1960;2294
;"Harald";"Petzold";"DIE LINKE";1962;2295
;"Karsten";"Petzold";"DVU";1962;2296
;"Ulrich";"Petzold";"CDU";1951;2297
;"Markus";"Peuschel";;1975;2298
;"Andrea";"Pfäfflin";"SPD";1956;2299
;"Alfred";"Pfannebecker";"DIE LINKE";1955;2300
;"Janina";"Pfau";"DIE LINKE";1983;2301
;"Klaus";"Pfeifer";;1956;2302
"Dr.";"Joachim";"Pfeiffer";"CDU";1967;2303
;"Michael";"Pfeiffer";"DIE VIOLETTEN";1946;2304
;"Oskar";"Pfeiffer";"DVU";1933;2305
;"Sibylle";"Pfeiffer";"CDU";1951;2306
"Prof. Dr.";"Thomas";"Pfeiffer";"CDU";1961;2307
;"Karl-Heinz Rudolf";"Pfirrmann";"NPD";1945;2308
;"Gerhard";"Pfisterer";"MLPD";1948;2309
;"Tanja";"Pfisterer";"ödp";1986;2310
;"Stephan";"Pfitzer";"NPD";1984;2311
;"Johannes Andreas";"Pflug";"SPD";1946;2312
;"Beatrix";"Philipp";"CDU";1945;2313
;"Matthias";"Phlak";"DIE LINKE";1964;2314
;"Peter Hartmut";"Pichl";"NPD";1980;2315
;"Erich";"Pichlmeier";"BP";1935;2316
;"Hans Joachim";"Picker";"RENTNER";1938;2317
;"Jochen";"Piehl";"ödp";1973;2318
;"Siegfried";"Pielsticker";"RRP";1943;2319
;"Cornelia";"Pieper";"FDP";1959;2320
;"Hans-Heinrich";"Piepgras";"PIRATEN";1961;2321
;"Britta";"Pietsch";"DIE LINKE";1963;2322
;"Gisela";"Piltz";"FDP";1964;2323
;"Thomas";"Pinkert";"GRÜNE";1957;2324
;"Denis";"Pinzke";"SPD";1982;2325
;"Christian";"Piovano";"CDU";1986;2326
;"Richard";"Pitterle";"DIE LINKE";1959;2327
;"Sarah";"Plack";"DIE LINKE";1989;2328
;"Hans";"Plate";"GRÜNE";1963;2329
;"Klaus";"Plessing";"PBC";1953;2330
;"Eduard";"Plischka";"NPD";1949;2331
;"Yvonne";"Ploetz";"DIE LINKE";1984;2332
;"Karsten";"Plotzki";"DIE LINKE";1970;2333
;"Frederik";"Poetsch";"REP";1979;2334
;"Johannes";"Pöttering";"CDU";1977;2335
;"Ronald";"Pofalla";"CDU";1959;2336
;"Markus";"Pohl";"NPD";1980;2337
;"Matthias";"Pohl";"NPD";1980;2338
;"Walter";"Pohl";"BP";1953;2339
;"Wolfgang";"Pohlmann";"REP";1940;2340
;"Christoph";"Poland";"CDU";1949;2341
;"Winfried";"Polch";"FDP";1941;2342
;"Herbert";"Polei";;1951;2343
;"Ruprecht";"Polenz";"CDU";1946;2344
;"Jörg";"Polheim von";"FDP";1959;2345
"Dr.";"Hans-Ingo";"Pollern von";"CDU";1946;2346
;"Dirk Thorsten";"Polly";"PIRATEN";1971;2347
;"Eckhard";"Pols";"CDU";1962;2348
;"Matthias";"Polt";"NPD";1980;2349
;"Helmut";"Polzer";"RRP";1937;2350
;"Alice-Sarah";"Polzer-Storek";"GRÜNE";1978;2351
;"Ingo";"Ponickau";"PIRATEN";1982;2352
;"Andreas";"Popp";"PIRATEN";1983;2353
;"Maike";"Porray";;1965;2354
"Prof. Dr.";"Peter";"Porsch";"DIE LINKE";1944;2355
"Dr.";"Thomas";"Portz";"CDU";1965;2356
;"Sebastian-Gabriel";"Poschinger-Bray Freiherr von";"FDP";1985;2357
;"Joachim";"Poß";"SPD";1948;2358
;"Achim";"Post";"SPD";1959;2359
;"Michael";"Post";"DIE LINKE";1961;2360
;"Michael";"Postel";"FDP";1983;2361
;"Brigitte";"Pothmer";"GRÜNE";1955;2362
;"Helmut";"Pozimski";"PIRATEN";1990;2363
;"Daniel";"Poznanski";"FDP";1971;2364
;"Timo";"Pradel";"NPD";1971;2365
;"Wilfried";"Präger";"SPD";1951;2366
;"Karl-Heinz";"Pramor";"BüSo";1946;2367
;"Uwe";"Pranghofer";"FDP";1962;2368
;"Elke";"Preetorius";"MLPD";1943;2369
;"Dirk Friedrich";"Presch";"SPD";1959;2370
;"Friedrich";"Preuß";"NPD";1943;2371
;"Joachim Jürgen";"Preuß";"RRP";1942;2372
;"Walter";"Price";"ödp";1967;2373
;"Peter Jürgen";"Pricelius";"REP";1938;2374
;"Christoph";"Pries";"SPD";1958;2375
;"Michaela";"Pries";"CDU";1966;2376
"Dr.";"Wilhelm";"Priesmeier";"SPD";1954;2377
;"Martin";"Pröhl";"Die Tierschutzpartei";1935;2378
;"Wilhelm";"Pröhl";"Die Tierschutzpartei";1935;2379
;"Richard";"Progl";"BP";1979;2380
;"Florian";"Pronold";"SPD";1972;2381
;"Friederike";"Prüll";"Die Tierschutzpartei";1963;2382
;"Max";"Prümm";"CDU";1978;2383
;"Peter";"Przybylo";"RENTNER";1944;2384
;"Rudolf";"Puckl";"BP";1946;2385
;"Jens";"Pühse";"NPD";1972;2386
;"Yanki";"Pürsün";"FDP";1972;2387
;"Lasse";"Pütz";"SPD";1981;2388
;"Heinz-Detlev";"Puff";"SPD";1957;2389
;"Alexander";"Pusch";"BüSo";1978;2390
;"Lucia";"Puttrich";"CDU";1961;2391
;"Jan-Henner";"Putzier";"SPD";1984;2392
;"Guido";"Quadfasel";"CDU";1963;2393
;"Lars Christoph";"Quaquil";"CDU";1981;2394
;"Stefan";"Quehl";"FDP";1975;2395
"Dr.";"Christina";"Quellmann";"CDU";1961;2396
;"Maria Sabina";"Quijano-Burchardt";"GRÜNE";1962;2397
;"Birgit";"Raab";"GRÜNE";1964;2398
;"Daniela";"Raab";"CSU";1975;2399
"Dr.";"Sascha";"Raabe";"SPD";1968;2400
;"Uwe";"Raake";"BüSo";1953;2401
"Dr.-Ing. habil.";"Simone";"Raatz";"SPD";1962;2402
;"Martin";"Rabanus";"SPD";1971;2403
;"Stefan";"Rabel";"CDU";1964;2404
;"Thomas";"Rachel";"CDU";1962;2405
;"Andreas";"Rademachers";"FDP";1985;2406
;"Harald";"Raderschadt";"PBC";1970;2407
;"Gabriele";"Radloff";;1961;2408
;"Kerstin";"Radomski";"CDU";1974;2409
;"Martin";"Radtke";"NPD";1979;2410
;"Helmut";"Radunski";"NPD";1948;2411
"Dr.";"Kersten";"Radzimanowski";"NPD";1948;2412
;"Ülker";"Radziwill";"SPD";1966;2413
;"Jürgen";"Raemdonck van";;1952;2414
;"Raimar";"Rätzel";;1971;2415
;"Maria";"Räuschel";"BüSo";1936;2416
;"Günther";"Ragg";"NPD";1957;2417
;"Georg";"Raischl";"CM";1956;2418
"Dr.";"Peter";"Ramsauer";"CSU";1954;2419
;"Wolf";"Ranfft";"RRP";1941;2420
;"Benjamin";"Raschke";"GRÜNE";1982;2421
"Dr.";"Cordula";"Ratajczak";"GRÜNE";1964;2422
;"Andreas";"Ratanski";"PIRATEN";1976;2423
;"Martin";"Rath";"DIE LINKE";1963;2424
"Dr.";"Christiane";"Ratjen-Damerau";"FDP";1954;2425
;"Ruth";"Ratter";"GRÜNE";1955;2426
;"Doris";"Rau";"CDU";1959;2427
;"Marie-Luise";"Rau-Stoll";"SPD";1950;2428
;"Gabriele Maria";"Rauber";"CDU";1954;2429
;"Michael";"Rauschenbach";"REP";1966;2430
;"Mechthild";"Rawert";"SPD";1957;2431
;"Siegfried";"Reball";"NPD";1954;2432
;"Kai";"Rebmann";"PBC";1982;2433
;"Stefan";"Rebmann";"SPD";1962;2434
;"Daniel";"Rech";"DVU";1983;2435
;"Lutz Rüdiger";"Recknagel";"FDP";1966;2436
;"Nina";"Rectenwald";"FDP";1990;2437
;"Bärbel";"Redlhammer-Raback";"DVU";1954;2438
;"Manfred";"Reetnitz von";"REP";1955;2439
;"Imanuel";"Regehly";"NPD";1923;2440
"Dr.";"Thomas";"Rehahn";"GRÜNE";1953;2441
;"Eckhardt Harald";"Rehberg";"CDU";1954;2442
;"Katherina";"Reiche";"CDU";1973;2443
;"Sebastian";"Reiche";"NPD";1983;2444
;"Steffen";"Reiche";"SPD";1960;2445
;"Julia";"Reichel";"Die Tierschutzpartei";1972;2446
;"Maik";"Reichel";"SPD";1971;2447
;"Gerold";"Reichenbach";"SPD";1953;2448
;"Marcus";"Reichenberg";"GRÜNE";1975;2449
;"Brigitte";"Reifschneider-Groß";"FDP";1951;2450
"Dr.";"Carola";"Reimann";"SPD";1967;2451
;"Hermann Hans Hajo";"Reinders";"CDU";1952;2452
;"Rosa Maria";"Reindl";"ödp";1966;2453
"Dr.";"Birgit";"Reinemund";"FDP";1959;2454
;"Marion";"Reinert";"NPD";1976;2455
;"Johannes";"Reinhard";"CSU";1985;2456
;"Fabio";"Reinhardt";"PIRATEN";1980;2457
;"Manfred";"Reinhart";"ödp";1964;2458
;"Hagen";"Reinhold";"FDP";1978;2459
;"Elke";"Reinke";"DIE LINKE";1958;2460
;"Ralf";"Reinstädtler";"DIE LINKE";1966;2461
;"Oliver";"Reising";"DIE LINKE";1970;2462
;"Hans-Jürgen";"Reitmeyer";"GRÜNE";1953;2463
;"Axel";"Reitz";"NPD";1983;2464
;"Reinhold";"Reker";"ADM";1935;2465
;"Ingrid Liselotte";"Remmers";"DIE LINKE";1965;2466
;"Karsten";"Renfordt";"DIE LINKE";1963;2467
;"Gabriele";"Renner";"DIE VIOLETTEN";1965;2468
;"Rita";"Renner";"MLPD";1958;2469
;"Astrid";"Renner-Knopp";"CSU";1969;2470
;"Hans-Jörg";"Rennert";"RRP";1941;2471
;"Christine";"Renz";"Die Tierschutzpartei";1975;2472
"Dr.";"Wolfgang";"Ressmann";"SPD";1958;2473
;"Hans-Jürgen";"Rettig";;1950;2474
;"Volker";"Reusch";"ZENTRUM";1970;2475
;"Volker";"Reusing";"ödp";1971;2476
"Dr.";"Alexander";"Reuter";"FDP";1967;2477
;"Marion";"Reuther";"SPD";1953;2478
;"Fabian";"Reymann";"PSG";1979;2479
;"Ingrid";"Reynders";"RENTNER";1947;2480
;"Bernhard";"Richter";"ödp";1943;2481
;"Hartmut Manfred";"Richter";;1944;2482
"Dr.";"Jörg";"Richter";"FDP";1969;2483
;"Thomas";"Richter";"FDP";1969;2484
;"Wera";"Richter";"DKP";1969;2485
;"Marie-Luise";"Richtermeier";"DIE VIOLETTEN";1947;2486
;"Roland";"Richwien";"CDU";1955;2487
;"Matthias";"Riebesam";;1964;2488
;"Lothar";"Riebsamen";"CDU";1957;2489
;"Hans-Ulrich";"Riedel";"DIE LINKE";1955;2490
;"Albert";"Riedelsheimer";"GRÜNE";1966;2491
;"Laszlo";"Riedl";"FDP";1972;2492
;"Peter Hans";"Riedl";"RRP";1948;2493
;"Michael";"Riedmaier";"Volksabstimmung";1969;2494
;"Josef";"Rief";"CDU";1960;2495
;"Ricarda";"Riefling";"NPD";1983;2496
;"Jürgen";"Rieg";"FDP";1968;2497
;"Stefan";"Riegel";"PIRATEN";1985;2498
;"Daniela";"Rieger";"Die Tierschutzpartei";1976;2499
;"Jürgen";"Rieger";"NPD";1946;2500
;"Rudolf";"Rieger";"NPD";1957;2501
;"Klaus";"Riegert";"CDU";1959;2502
;"Knut Erwin";"Ries";"CSU";1955;2503
"Prof. Dr.";"Heinz";"Riesenhuber";"CDU";1935;2504
;"Eva Michaela";"Riesterer";"SPD";1961;2505
;"Nanni Karoline";"Rietz-Heering";"DIE LINKE";1956;2506
;"Stefan";"Ringer";"SPD";1956;2507
;"Helmut Günther";"Ringger";;1955;2508
;"Adelbert";"Ringwald";"DIE LINKE";1965;2509
;"Daniela";"Rinkenberger";"Die Tierschutzpartei";1972;2510
;"Ulrich";"Rippert";"PSG";1951;2511
;"Peter Otto Arthur";"Rippler";"RRP";1949;2512
;"Iris";"Ripsam";"CDU";1959;2513
;"Jürgen";"Rischar";"SPD";1944;2514
;"Matthias";"Ritter";"REP";1950;2515
;"Nicole";"Ritter";"SPD";1974;2516
;"Peter";"Ritter";"DIE LINKE";1959;2517
;"Sönke";"Rix";"SPD";1975;2518
;"Mark";"Roach";"DIE LINKE";1955;2519
;"Walter";"Robbe";"PBC";1939;2520
;"Wolfgang";"Rochner";"NPD";1941;2521
;"Marcus";"Rodewald";"FDP";1975;2522
;"Renate";"Rodriguez Gómez";"RRP";1941;2523
;"René";"Rodriguez-Teufer";"NPD";1974;2524
;"Alois";"Röbosch";"REP";1958;2525
;"Hildegard";"Röder";"RRP";1942;2526
;"Harald";"Röhl";"NPD";1962;2527
;"Walter Franz";"Röhling";"RRP";1944;2528
"Dr.";"Peter";"Röhlinger";"FDP";1939;2529
;"Carolin";"Röhrig";"CDU";1982;2530
;"Christina";"Roemer";"SPD";1965;2531
;"Christian";"Römhild";"CDU";1983;2532
;"Christian";"Röner";"GRÜNE";1966;2533
;"Johannes";"Röring";"CDU";1959;2534
;"Sabine";"Rösch-Dammenmiller";"DIE LINKE";1962;2535
"Dr.";"Bernd";"Rösel";"FDP";1964;2536
;"René";"Röspel";"SPD";1964;2537
;"Tabea";"Rößner";"GRÜNE";1966;2538
;"Brigitta Marita";"Röthig-Wentz";"FDP";1962;2539
"Dr.";"Norbert";"Röttgen";"CDU";1965;2540
;"Thomas";"Röver";"DIE LINKE";1963;2541
;"Nicole Elisabeth";"Rohde";"NPD";1980;2542
;"Frank Roland Otto";"Rohleder";"NPD";1950;2543
;"Stefan";"Rohmann";"FDP";1984;2544
;"Claas Heinrich Remmert";"Rohmeyer";"CDU";1971;2545
;"Patricia Katharina";"Rohrbach";"MLPD";1953;2546
;"Heidi";"Rohrlack";"GRÜNE";1946;2547
;"Margit Ricarda";"Rolf";"ödp";1953;2548
;"Andreas";"Roll";"GRÜNE";1967;2549
;"Thorsten";"Rollman";"CSU";1969;2550
"Dr.";"Eckart";"Rolshoven";"FDP";1951;2551
;"Christine";"Rorich";"NPD";1937;2552
;"Clemens Josef";"Roschka";"ödp";1961;2553
;"Margarete";"Rose";"RRP";1948;2554
"Dr.";"Olaf Volker Bernhard";"Rose";"NPD";1958;2555
"Dr.";"Martin";"Rosemann";"SPD";1976;2556
;"Ingeborg";"Rosemann-Kallweit";"CDU";1951;2557
;"Josef";"Rosner";"GRÜNE";1955;2558
;"Karl Josef";"Roß";"DVU";1950;2559
"Dr.";"Ernst Dieter";"Rossmann";"SPD";1951;2560
;"Sascha";"Roßmüller";"NPD";1972;2561
;"Claudia";"Roth";"GRÜNE";1955;2562
;"Heinz-Walter";"Roth";"FDP";1949;2563
;"Jürgen";"Roth";"GRÜNE";1956;2564
;"Karin";"Roth";"SPD";1949;2565
;"Michael";"Roth";"SPD";1970;2566
;"Bodo";"Rothe";;1957;2567
;"Judith";"Rothe";"NPD";1979;2568
;"Astrid";"Rothe-Beinlich";"GRÜNE";1973;2569
;"René";"Rothhanns";"NPD";1981;2570
"Dr.";"Christian";"Ruck";"CSU";1954;2571
;"Daniel";"Rudloff";"FDP";1979;2572
;"Heinz";"Rudolf";"NPD";1955;2573
"Dr.";"Karsten";"Rudolph";"SPD";1962;2574
"Dr.";"Eva-Brigitte";"Rudolph-Heger";"CDU";1934;2575
;"Andreas";"Rückert";;1975;2576
;"Reinhold";"Rückert";"DIE LINKE";1948;2577
;"Erwin Josef";"Rüddel";"CDU";1955;2578
;"Peter";"Rügner";"MLPD";1966;2579
;"Brigitta Barbara";"Rühle";"CDU";1956;2580
;"Nelly";"Rühle";"NPD";1979;2581
;"Arne";"Rüstemeier";"CDU";1976;2582
;"Susann";"Rüthrich";"SPD";1977;2583
;"Bernd";"Rützel";"SPD";1968;2584
;"Katja";"Ruiters";"GRÜNE";1963;2585
;"Brigitta";"Runge";"DIE LINKE";1962;2586
;"Bärbel";"Rupp";"FAMILIE";1959;2587
;"Jörg";"Rupp";"GRÜNE";1966;2588
;"Klaus-Rainer Heinrich Wilhelm";"Rupp";"DIE LINKE";1955;2589
;"Michael";"Ruppert";"FDP";1946;2590
"Dr.";"Stefan";"Ruppert";"FDP";1971;2591
;"Albert";"Rupprecht";"CSU";1968;2592
;"Johannes";"Rupprecht";"MLPD";1952;2593
;"Marlene Dorothe Henriette";"Rupprecht";"SPD";1947;2594
;"Hartmut";"Rusin";;1951;2595
;"Wolfgang";"Rußkamp";"CDU";1955;2596
;"Christa";"Rust";"Die Tierschutzpartei";1944;2597
;"Dieter";"Rust";"SPD";1966;2598
;"Bert";"Rutkowsky";"Die Tierschutzpartei";1970;2599
;"Anna";"Rutz";"GRÜNE";1967;2600
;"Sarah Janina";"Ryglewski";"SPD";1983;2601
;"Volker";"Sachs";"NPD";1934;2602
;"Wilhelm";"Sälinger";;1941;2603
;"Björn";"Sänger";"FDP";1975;2604
;"Bastian Johannes";"Saffer";"Freie Union";1983;2605
;"Rüdiger";"Sagel";"DIE LINKE";1955;2606
;"Krista";"Sager";"GRÜNE";1953;2607
;"Christoph Daniel";"Sahm";"SPD";1974;2608
;"Rasched";"Salem";"FDP";1963;2609
;"Matthias";"Salomon";"MLPD";1947;2610
;"Franz";"Salzberger";"NPD";1952;2611
;"Bernhard";"Sander";"DIE LINKE";1955;2612
;"Daniel";"Sander";"CDU";1973;2613
;"Maik";"Sandmüller";"PIRATEN";1977;2614
;"Mike";"Sandow";"NPD";1971;2615
;"Sabine";"Saphörster-Heimbach";"CSU";1962;2616
;"Manuel";"Sarrazin";"GRÜNE";1982;2617
;"Helmut";"Saß";"NPD";1958;2618
;"Ronald";"Saß";;1961;2619
;"Michael Willy";"Sauer";"CSU";1964;2620
;"Theo";"Sauer";"CDU";1955;2621
;"Herbert";"Sauter";"REP";1955;2622
;"Matthias";"Sauter";"MLPD";1958;2623
;"Annette";"Sawade";"SPD";1953;2624
;"Anton";"Schaaf";"SPD";1962;2625
;"Christian";"Schaarschmidt";"REP";1971;2626
"Dr.";"Hans-Joachim";"Schabedoth";"SPD";1952;2627
;"Stefan";"Schade";;1960;2628
;"Regina Klothild";"Schadwinkel";"ödp";1938;2629
;"Reinhold";"Schäben";"NPD";1960;2630
;"Gerald Rudolf Hermann";"Schädlich";"FDP";1956;2631
;"Andreas";"Schäfer";"NPD";1968;2632
;"Anita";"Schäfer";"CDU";1951;2633
;"Axel";"Schäfer";"SPD";1952;2634
;"Jürgen";"Schäfer";"CDU";1958;2635
"Dr.";"Maike";"Schaefer";"GRÜNE";1971;2636
;"Michael";"Schäfer";"NPD";1982;2637
;"Paul Georg";"Schäfer";"DIE LINKE";1949;2638
;"Uwe";"Schäfer";"NPD";1938;2639
;"Frank";"Schäffler";"FDP";1968;2640
;"Herbert";"Schär";"MLPD";1949;2641
;"Anna-Katharina";"Schättiger";"CDU";1951;2642
;"Helmut";"Schätzlein";;1958;2643
;"Jürgen";"Schäuble";"MLPD";1963;2644
"Dr.";"Wolfgang";"Schäuble";"CDU";1942;2645
;"Gerhard";"Schaffarczyk";"BP";1957;2646
;"Markus";"Schalk";"DIE LINKE";1949;2647
"Dr.";"Rainer";"Schanne";"ödp";1942;2648
;"Peter";"Schantz";"FDP";1977;2649
"Dr.";"Marcus";"Schaper";"GRÜNE";1973;2650
;"Karl-Heinz";"Schappert";"ADM";1944;2651
;"Tim";"Schardelmann";"FDP";1969;2652
;"Marion";"Schardt";"FDP";1970;2653
;"Elisabeth";"Scharfenberg";"GRÜNE";1963;2654
;"Alexander";"Scharff";"DIE LINKE";1984;2655
;"Ursula";"Schauws";"GRÜNE";1966;2656
"Dr.";"Annette";"Schavan";"CDU";1955;2657
;"Karl";"Schedlbauer";"BP";1951;2658
;"Christine";"Scheel";"GRÜNE";1956;2659
;"Bernd";"Scheelen";"SPD";1948;2660
"Dr.";"Hermann";"Scheer";"SPD";1944;2661
;"Friedrich";"Scheerer";"SPD";1958;2662
;"Maik";"Scheffler";"NPD";1974;2663
;"Marco";"Scheffler";;1967;2664
